epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8674,1.73108,3.74822,3.75974,1.51568,0,0.02138,0.18841,0.01428,0.00646,0.02303,0.2029,0.01956,0.00812,1.37428,2.68111,3.61707,1.31359,0,1.667e-05,1.667e-05,1.667e-05
2,51.909,1.59562,3.31274,3.6032,1.46323,0,0.03912,0.36232,0.04449,0.01785,0.03443,0.31884,0.03799,0.01702,1.27047,2.52756,3.57947,1.25325,0,4.97625e-05,4.97625e-05,4.97625e-05
3,72.7637,1.68666,3.29972,3.57394,1.43342,0,0.05991,0.6087,0.11897,0.05644,0.04993,0.50725,0.09707,0.03916,1.23432,2.47853,3.52557,1.20984,0,8.25248e-05,8.25248e-05,8.25248e-05
4,92.5769,1.57656,3.12107,3.39865,1.32811,0,0.07303,0.75362,0.21988,0.11054,0.05478,0.56522,0.16853,0.06831,1.20384,2.63433,3.47274,1.16569,0,0.000114957,0.000114957,0.000114957
5,107.371,1.53383,3.01707,3.11253,1.37533,0,0.08593,0.84058,0.32479,0.14482,0.05926,0.57971,0.23045,0.08172,1.2051,2.75179,3.43633,1.13229,0,0.000147059,0.000147059,0.000147059
6,125.458,1.56394,2.90861,2.97298,1.25413,0,0.08967,0.85507,0.41413,0.19335,0.06231,0.5942,0.28671,0.12456,1.28503,2.69016,3.35817,1.13712,0,0.000178832,0.000178832,0.000178832
7,142.175,1.34532,2.53683,2.31136,1.1704,0,0.09161,0.85507,0.46699,0.24946,0.06832,0.63768,0.36867,0.17543,1.32465,2.29486,3.22476,1.1297,0,0.000210274,0.000210274,0.000210274
8,161.414,1.53361,2.73935,2.26069,1.2119,0,1,0.23478,0.456,0.25982,1,0.12587,0.40688,0.20188,1.2435,2.2269,3.04595,1.08843,0,0.000241386,0.000241386,0.000241386
9,180.061,1.23186,2.26042,1.93622,1.09995,0,1,0.15236,0.47838,0.27087,1,0.15236,0.41815,0.21974,1.21193,2.17156,2.94817,1.05759,0,0.000272168,0.000272168,0.000272168
10,195.973,1.41764,2.34453,1.82189,1.12954,0,0.99742,0.21739,0.49904,0.29943,1,0.21133,0.4529,0.25628,1.22605,2.02382,2.87637,1.05441,0,0.00030262,0.00030262,0.00030262
11,210.974,1.07909,1.95201,1.39153,1.02939,0,0.97928,0.23188,0.53215,0.31878,0.97928,0.23188,0.49778,0.27845,1.20735,2.00042,2.75967,1.04071,0,0.000332742,0.000332742,0.000332742
12,225.794,1.20255,2.0808,1.39688,1.04955,0,0.94377,0.24337,0.57693,0.35364,0.94377,0.24337,0.54791,0.27891,1.23166,1.88148,2.66029,1.04378,0,0.000362533,0.000362533,0.000362533
13,244.185,1.27739,2.25403,1.3875,1.12799,0,0.99831,0.27536,0.62215,0.37087,0.94577,0.26087,0.53345,0.27232,1.23977,1.91118,2.59594,1.05129,0,0.000391995,0.000391995,0.000391995
14,262.108,1.06228,1.90735,1.36168,1.03468,0,1,0.27676,0.70229,0.43005,0.94762,0.26227,0.57414,0.30025,1.25086,1.99802,2.51366,1.05265,0,0.000421127,0.000421127,0.000421127
15,278.983,1.18399,2.09921,1.28277,1.06741,0,1,0.29854,0.74827,0.47183,0.95143,0.28405,0.66941,0.36906,1.18079,1.79684,2.41169,1.03689,0,0.000449928,0.000449928,0.000449928
16,296.681,1.21752,1.98313,1.21847,1.06202,0,1,0.33905,0.77306,0.51368,1,0.3372,0.77415,0.42869,1.13448,1.6459,2.35044,1.03782,0,0.0004784,0.0004784,0.0004784
17,313.232,1.30487,2.30652,1.30846,1.09077,0,1,0.41017,0.82416,0.5307,1,0.41017,0.76281,0.45454,1.13439,1.55405,2.2701,1.04593,0,0.000506541,0.000506541,0.000506541
18,330.769,1.18934,2.18528,1.32276,1.07801,0,1,0.44588,0.82163,0.56791,1,0.44588,0.78391,0.48478,1.08251,1.48215,2.19078,1.03319,0,0.000534353,0.000534353,0.000534353
19,348.937,1.14644,2.02128,1.25275,1.0589,0,0.96973,0.46432,0.81735,0.59071,0.93946,0.44982,0.78528,0.49963,1.04866,1.50057,2.1112,1.01814,0,0.000561834,0.000561834,0.000561834
20,366.714,1.2001,2.28375,1.2501,1.12919,0,0.97108,0.48673,0.80828,0.55934,0.94216,0.47223,0.78264,0.46993,1.0814,1.5539,2.12875,1.05707,0,0.000588985,0.000588985,0.000588985
21,387.403,1.09167,1.82983,1.09426,1.0683,0,0.95433,0.46377,0.8016,0.56594,0.92451,0.44928,0.77673,0.47482,1.0955,1.54862,2.10884,1.05944,0,0.000615806,0.000615806,0.000615806
22,406.699,0.97625,1.73445,1.11777,1.03599,0,1,0.54161,0.82932,0.62338,1,0.54715,0.82999,0.54776,1.02499,1.46607,1.98615,1.02473,0,0.000642298,0.000642298,0.000642298
23,423.692,0.95455,1.57515,0.98284,0.99492,0,1,0.63419,0.85167,0.64155,1,0.63419,0.84436,0.5588,1.0447,1.38661,1.85005,1.03146,0,0.000668459,0.000668459,0.000668459
24,440.932,1.07211,1.94525,1.05421,1.0236,0,0.95584,0.69565,0.86437,0.61331,0.94026,0.68436,0.85368,0.53711,1.09357,1.38459,1.74443,1.04448,0,0.00069429,0.00069429,0.00069429
25,459.816,1.10022,1.98944,1.11481,1.05075,0,0.90385,0.68122,0.85842,0.62525,0.94231,0.7102,0.86752,0.53461,1.07379,1.44367,1.69281,1.03854,0,0.000719791,0.000719791,0.000719791
26,478.338,1.04995,1.89029,1.11175,1.01828,0,0.90477,0.68854,0.81274,0.61322,0.94253,0.71317,0.83672,0.53388,1.07385,1.36728,1.72302,1.03115,0,0.000744961,0.000744961,0.000744961
27,494.34,1.03719,2.00073,1.27636,1.06087,0,0.90157,0.63768,0.7899,0.58034,0.90157,0.63768,0.80547,0.5216,1.08447,1.39552,1.8072,1.03482,0,0.000769802,0.000769802,0.000769802
28,512.654,1.23491,2.11837,1.21991,1.09262,0,0.90157,0.63768,0.7899,0.58034,0.90157,0.63768,0.80547,0.5216,1.08447,1.39552,1.8072,1.03482,0,0.000794313,0.000794313,0.000794313
29,534.915,1.15361,2.18425,1.30621,1.07453,0,0.8914,0.65217,0.79378,0.62921,0.93587,0.68116,0.82046,0.53359,1.01935,1.3517,1.77414,1.02733,0,0.000818494,0.000818494,0.000818494
30,558.539,0.99099,1.60127,1.14632,1.03889,0,0.9569,0.71014,0.8633,0.64888,0.93737,0.69565,0.85346,0.55639,1.0333,1.30305,1.63253,1.01458,0,0.000842344,0.000842344,0.000842344
